"","Site","MaPP_region","Date","Year","Month","Salinity","Temperature","Latitude","Longitude","date_diff","group"
"237","Bonilla Island","North Coast",2019-08-25,2019,8,31.7,13.2,53.4928,-130.636,1,1
"238","Bonilla Island","North Coast",2019-08-26,2019,8,31.6,13.6,53.4928,-130.636,1,1
"239","Bonilla Island","North Coast",2019-08-27,2019,8,31.6,14.1,53.4928,-130.636,1,1
"240","Bonilla Island","North Coast",2019-08-28,2019,8,31.7,14.1,53.4928,-130.636,1,1
"241","Bonilla Island","North Coast",2019-08-29,2019,8,31.9,13.2,53.4928,-130.636,1,1
"242","Bonilla Island","North Coast",2019-08-30,2019,8,31.8,12.7,53.4928,-130.636,1,1
"243","Bonilla Island","North Coast",2019-08-31,2019,8,31.4,12.1,53.4928,-130.636,1,1
"244","Bonilla Island","North Coast",2019-09-01,2019,9,32.2,12.2,53.4928,-130.636,1,1
"245","Bonilla Island","North Coast",2019-09-02,2019,9,31.2,12.2,53.4928,-130.636,1,1
"246","Bonilla Island","North Coast",2019-09-03,2019,9,32.3,12.3,53.4928,-130.636,1,1
"247","Bonilla Island","North Coast",2019-09-04,2019,9,32.3,12.6,53.4928,-130.636,1,1
"248","Bonilla Island","North Coast",2019-09-05,2019,9,32.1,12.3,53.4928,-130.636,1,1
"249","Bonilla Island","North Coast",2019-09-06,2019,9,32.1,12,53.4928,-130.636,1,1
"250","Bonilla Island","North Coast",2019-09-07,2019,9,31.9,12.5,53.4928,-130.636,1,1
"251","Bonilla Island","North Coast",2019-09-08,2019,9,32,12.7,53.4928,-130.636,1,1
"252","Bonilla Island","North Coast",2019-09-09,2019,9,32,12.5,53.4928,-130.636,1,1
"253","Bonilla Island","North Coast",2019-09-10,2019,9,32,12.6,53.4928,-130.636,1,1
"254","Bonilla Island","North Coast",2019-09-11,2019,9,32.1,13.1,53.4928,-130.636,1,1
"255","Bonilla Island","North Coast",2019-09-12,2019,9,31.7,13.9,53.4928,-130.636,1,1
"256","Bonilla Island","North Coast",2019-09-13,2019,9,31.8,13.4,53.4928,-130.636,1,1
"257","Bonilla Island","North Coast",2019-09-14,2019,9,31.7,13.3,53.4928,-130.636,1,1
"258","Bonilla Island","North Coast",2019-09-15,2019,9,31.6,13.3,53.4928,-130.636,1,1
